latitude (deg)	longitude (deg)	altitude (m)
41.56509984	2.252100918	126.6
41.56513188	2.252097696	126.7
41.56515417	2.252086537	126.8
41.56518523	2.252086743	126.8
41.5652133	2.252077904	126.9
41.56524637	2.252077639	126.9
41.5652695	2.252075075	127
41.56529184	2.252072353	127
41.56531166	2.25206953	127
41.56533292	2.252068773	127
41.56536804	2.252072025	127
41.56540365	2.25207335	127
41.56543113	2.252071623	127
41.56546821	2.252075662	127
41.56549322	2.252076131	127
41.56552433	2.252078896	127
41.56555878	2.252083608	127
41.56559613	2.252089006	127.1
41.56563974	2.252095596	127.1
41.56567919	2.252105174	127.2
41.5657253	2.252116943	127.2
41.56575168	2.252118561	127.3
41.56578732	2.252127801	127.3
41.56582608	2.252139969	127.3
41.56584628	2.252148378	127.3
41.56586621	2.252155959	127.3
41.56589258	2.252162023	127.4
41.56591855	2.252171327	127.4
41.56594528	2.252180705	127.5
41.56596688	2.252190487	127.5
41.56598643	2.252194439	127.6
41.56600771	2.252207344	127.6
41.56602849	2.252215635	127.7
41.56604714	2.252221742	127.8
41.56607046	2.252232015	127.9
41.56609056	2.25224096	127.9
41.56610903	2.252249705	128
41.56612469	2.252256395	128
41.56614131	2.252266504	128.1
41.56615979	2.252275336	128.1
41.56618541	2.252291043	128.2
41.56620752	2.252300618	128.2
41.56622812	2.252311727	128.3
41.56624617	2.252321113	128.3
41.56626236	2.25233075	128.3
41.56628082	2.252342292	128.3
41.56629926	2.252353961	128.4
41.56631518	2.25236582	128.4
41.5663319	2.252378996	128.3
41.56634857	2.252387049	128.3
41.56636333	2.252398192	128.3
41.56638001	2.252410297	128.3
41.56639865	2.252421744	128.3
41.56641062	2.252431417	128.3
41.56642291	2.252439113	128.3
41.56643456	2.252447495	128.3
41.56644777	2.25245879	128.3
41.5664615	2.25246841	128.3
41.56648793	2.252492613	128.4
41.56651035	2.252508787	128.5
41.56653059	2.252527732	128.6
41.56655272	2.252547207	128.7
41.5665761	2.252566218	128.8
41.56659708	2.252583227	128.8
41.56661701	2.252597852	128.9
41.56663952	2.252618442	128.9
41.56665801	2.252633784	129
41.56667475	2.252649531	129
41.56668936	2.25266188	129
41.5667023	2.252671856	129
41.56671671	2.252683879	129.1
41.56674472	2.252705538	129.1
41.56677739	2.25273392	129.1
41.56681336	2.252765915	129
41.56684176	2.252787997	129
41.56687254	2.252818945	129.1
41.56689141	2.252832688	129.1
41.56691096	2.252848365	129.1
41.56693072	2.252866154	129
41.56695146	2.252883508	129
41.56698273	2.252909459	129.1
41.5670114	2.252932496	129.2
41.56704268	2.252958872	129.4
41.56706542	2.2529812	129.4
41.56709849	2.253003748	129.6
41.56711911	2.253022456	129.6
41.56714259	2.253041509	129.7
41.5671674	2.253063211	129.8
41.56720873	2.253097206	130
41.56723616	2.253123153	130
41.5672663	2.253146914	130
41.56729203	2.253168427	130
41.56732657	2.25319931	130
41.56735113	2.253218699	130
41.56737699	2.253237054	130
41.56739966	2.253256488	130
41.5674207	2.253277353	130
41.56744612	2.253296723	130
41.56748688	2.253330765	130
41.56751392	2.253352053	130.1
41.56754536	2.253377076	130.2
41.56757233	2.253401796	130.3
41.56759659	2.253425346	130.3
41.56762087	2.25344251	130.4
41.5676398	2.253458117	130.5
41.5676591	2.253474268	130.6
41.56767616	2.25349014	130.6
41.56769318	2.253506023	130.7
41.56771054	2.253519655	130.8
41.56772805	2.253532679	130.8
41.56773941	2.253544358	130.9
41.56775565	2.253556079	130.9
41.56776922	2.253568203	131
41.56793871	2.253712324	131
41.5679631	2.253731189	131
41.56799153	2.253756653	131
41.56801368	2.253773321	131
41.56803701	2.253795205	131
41.56805828	2.253811378	131
41.56808097	2.253832763	131.1
41.5681097	2.25385721	131.3
41.56813537	2.253877282	131.3
41.56815992	2.253899851	131.4
41.56819155	2.253924195	131.6
41.56821058	2.25393852	131.6
41.56823145	2.253954794	131.7
41.56825516	2.253975483	131.8
41.56827762	2.253998909	131.9
41.5683021	2.254025461	131.9
41.56832317	2.254048539	132
41.56833872	2.254069595	132
41.56835117	2.254091251	132.1
41.56836733	2.254114916	132.1
41.56838231	2.254141712	132.2
41.56839733	2.254168942	132.2
41.56841135	2.254194606	132.3
41.56841825	2.254212903	132.3
41.56842853	2.254237361	132.3
41.56843623	2.254257568	132.4
41.56844055	2.254271192	132.4
41.56844984	2.254291519	132.4
41.56845747	2.25431574	132.4
41.56846411	2.254347484	132.5
41.56846754	2.25436788	132.5
41.5684731	2.254389725	132.5
41.56847526	2.254406445	132.5
41.56847675	2.254425311	132.5
41.56847804	2.254436162	132.5
41.56848202	2.254450581	132.5
41.56848801	2.254471357	132.6
41.56848908	2.254481421	132.6
41.56848953	2.254504728	132.6
41.56848959	2.254525137	132.6
41.56849117	2.254544142	132.6
41.56848814	2.254560313	132.6
41.5684903	2.254588271	132.6
41.56848736	2.254613585	132.6
41.56848747	2.254639293	132.6
41.56848431	2.254660344	132.5
41.5684839	2.254692336	132.5
41.56848068	2.254723394	132.5
41.56847432	2.254750775	132.6
41.56846821	2.25477883	132.7
41.56846203	2.254811408	132.8
41.56845398	2.254837215	132.8
41.56844766	2.254860406	132.9
41.56844089	2.254879697	133
41.5684306	2.254906724	133
41.56842091	2.254933315	133.1
41.56840657	2.254961395	133.1
41.56839168	2.254987741	133.2
41.5683778	2.255024328	133.2
