latitude,longitude,altitude (m)
45.62982633,9.285772437,190.5
45.62983373,9.285842571,190.6
45.62984355,9.285926743,190.6
45.62985293,9.286002217,190.5
45.62985933,9.286079297,190.5
45.62986835,9.286158867,190.5
45.62987574,9.286241429,190.4
45.62988091,9.286316862,190.4
45.62988723,9.286385749,190.4
45.62988931,9.286458946,190.4
45.62989433,9.286538022,190.4
45.62990093,9.286618334,190.4
45.62990801,9.286694698,190.4
45.62991114,9.286760763,190.6
45.6299177,9.286819342,190.7
45.62991408,9.286874923,190.8
45.62992127,9.286967237,191
45.62992564,9.287047894,191
45.62993001,9.287123774,191
45.62993413,9.287202553,191
45.62994465,9.287344858,190.9
45.62994935,9.287473808,190.8
45.62995563,9.287561222,190.8
45.62996067,9.287676743,190.9
45.62996773,9.287805659,190.9
45.62997472,9.287920575,190.9
45.62998817,9.288059309,191
45.62998791,9.288162896,191
45.6299971,9.288278227,191
45.63000383,9.288365657,191
45.63000579,9.288438614,191
45.63001484,9.288589614,191.1
45.63001792,9.288669515,191.1
45.63002304,9.288754664,191.1
45.63002988,9.288832384,191.1
45.63003138,9.288899987,191.1
45.63003313,9.288971028,191.1
45.63003731,9.289038064,191.1
45.63004092,9.289129824,191.1
45.63004712,9.28922187,191.1
45.63005345,9.289334945,191.1
45.63005653,9.289416144,191
45.63005723,9.289485672,191
45.63006126,9.289584776,191.1
45.63006603,9.289668702,191.2
45.63006773,9.289730908,191.2
45.63007137,9.289811689,191.2
45.63007138,9.289887661,191.1
45.63007564,9.289968991,191
45.6300767,9.29004998,191
45.63008382,9.290123126,191
45.63008653,9.290222843,191
45.63008781,9.290311922,191
45.63009212,9.290388396,191
45.6300944,9.290445602,191
45.63009811,9.290510575,191
45.63009843,9.290571586,191
45.63009794,9.290644298,191
45.63010264,9.290686349,191
45.63010587,9.290735301,191
45.63010947,9.290774023,191
45.63010636,9.29081679,191
45.63010725,9.290860485,191
45.63010858,9.290902279,191
45.63011228,9.290941952,191
45.63011303,9.290990138,191
45.63011314,9.291048893,191
45.63011524,9.291102928,191
45.63011972,9.29114622,191
45.63012533,9.291182587,191
45.63012555,9.291216013,191
45.63012853,9.291240659,191
45.63013059,9.291276331,191
45.63013166,9.291311627,191
45.63013742,9.291345685,191
45.63014226,9.29136968,191
45.63014562,9.291386675,191
45.63014974,9.29140745,191
45.63015606,9.291423831,191
45.63015995,9.291438741,191
45.63016699,9.291452968,191
45.63017538,9.291466644,191
45.63018308,9.291478674,191
45.6301944,9.291492384,191
