type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.565916077	2.252318593	127.8			
T	41.565949384	2.252331754	127.9			
T	41.565996048	2.252351900	128.0			
T	41.566044684	2.252370906	128.0			
T	41.566105231	2.252400808	128.0			
T	41.566146106	2.252424009	128.0			
T	41.566205156	2.252457616	128.1			
T	41.566257119	2.252487122	128.0			
T	41.566303815	2.252516839	128.1			
T	41.566348371	2.252550842	128.3			
T	41.566395293	2.252586961	128.3			
T	41.566444960	2.252627481	128.6			
T	41.566486529	2.252658762	128.7			
T	41.566533055	2.252696481	128.9			
T	41.566568081	2.252725351	128.9			
T	41.566603663	2.252758758	129.0			
T	41.566640906	2.252794615	129.1			
T	41.566685275	2.252828333	129.3			
T	41.566722153	2.252862230	129.5			
T	41.566760058	2.252893029	129.6			
T	41.566796032	2.252923893	129.6			
T	41.566838935	2.252957738	129.5			
T	41.566873869	2.252986623	129.4			
T	41.566911427	2.253018792	129.2			
T	41.566937381	2.253038625	129.0			
T	41.566965754	2.253063754	129.2			
T	41.566993206	2.253089588	129.5			
T	41.567034151	2.253123895	129.8			
T	41.567074012	2.253156272	130.0			
T	41.567110375	2.253184198	130.2			
T	41.567147439	2.253220599	130.2			
T	41.567182107	2.253247281	130.2			
T	41.567209640	2.253270059	130.1			
T	41.567236235	2.253292517	130.0			
T	41.567264798	2.253315978	130.0			
T	41.567288330	2.253335058	130.0			
T	41.567308083	2.253352431	130.2			
T	41.567332660	2.253373773	130.4			
T	41.567381464	2.253416229	130.5			
T	41.567439913	2.253463160	130.4			
T	41.567480579	2.253497810	130.2			
T	41.567531894	2.253541290	130.1			
T	41.567578200	2.253577714	130.3			
T	41.567613673	2.253608199	130.4			
T	41.567650127	2.253640277	130.8			
T	41.567677858	2.253662892	131.0			
T	41.567709649	2.253688530	131.1			
T	41.567734506	2.253709175	131.1			
T	41.567765621	2.253734014	131.1			
T	41.567789151	2.253757497	131.0			
T	41.567810072	2.253774924	131.0			
T	41.567892792	2.253841403	131.0			
T	41.567916749	2.253862453	131.0			
T	41.567943077	2.253884014	131.0			
T	41.567970598	2.253906038	131.1			
T	41.568003752	2.253928548	131.2			
T	41.568046151	2.253964101	131.3			
T	41.568084335	2.253996358	131.4			
T	41.568122796	2.254025005	131.6			
T	41.568165100	2.254069839	131.8			
T	41.568208625	2.254101106	131.9			
T	41.568234811	2.254129289	132.0			
T	41.568250574	2.254144934	132.0			
T	41.568262829	2.254163240	132.0			
T	41.568279871	2.254187747	132.1			
T	41.568290081	2.254207225	132.1			
T	41.568306971	2.254233448	132.1			
T	41.568315789	2.254255625	132.1			
T	41.568329885	2.254292723	132.0			
T	41.568349404	2.254351387	132.1			
T	41.568361727	2.254399142	132.1			
T	41.568373875	2.254460566	132.1			
T	41.568385977	2.254509078	132.2			
T	41.568387577	2.254558942	132.2			
T	41.568383835	2.254599336	132.2			
T	41.568386626	2.254642966	132.2			
T	41.568379000	2.254688532	132.2			
T	41.568370706	2.254734395	132.2			
T	41.568355242	2.254778894	132.3			
T	41.568344724	2.254829533	132.4			
T	41.568334324	2.254850229	132.5			
T	41.568318073	2.254876204	132.7			
T	41.568299416	2.254906836	132.9			
T	41.568285033	2.254943179	133.0			
T	41.568261769	2.254969694	133.1			
T	41.568243607	2.255003810	133.0			
T	41.568231622	2.255031080	133.1			
T	41.568207751	2.255059018	133.1			
T	41.568165496	2.255105544	133.2			
T	41.568140427	2.255134136	133.1			
T	41.568108812	2.255159580	133.1			
T	41.568078788	2.255187160	133.1			
T	41.568051381	2.255204730	133.0			
T	41.568012478	2.255222830	133.2			
T	41.567983074	2.255248737	133.1			
T	41.567916740	2.255282781	133.0			
T	41.567858140	2.255292385	133.1			
T	41.567812134	2.255299319	133.1			
T	41.567781341	2.255302178	133.1			
T	41.567745900	2.255308123	133.1			
T	41.567712203	2.255312041	133.1			
T	41.567685002	2.255314393	133.1			
T	41.567650205	2.255315839	133.1			
T	41.567622856	2.255313145	133.1			
T	41.567580384	2.255308866	133.1			
T	41.567538801	2.255299409	133.1			
T	41.567501052	2.255292054	133.1			
T	41.567450616	2.255276405	133.0			
T	41.567384629	2.255245324	133.3			
T	41.567319653	2.255218038	133.3			
T	41.567257084	2.255183902	133.2			
T	41.567203195	2.255137703	133.0			
T	41.567168214	2.255113377	133.0			
T	41.567121745	2.255075842	133.0			
T	41.567078695	2.255039469	133.0			
T	41.567027115	2.255001188	133.0			
T	41.566972891	2.254956776	133.1			
T	41.566924037	2.254914917	132.9			
T	41.566866848	2.254868870	132.7			
T	41.566820117	2.254829899	132.6			
T	41.566761007	2.254776010	132.3			
T	41.566701471	2.254723947	132.1			
T	41.566625990	2.254652384	132.3			
T	41.566570273	2.254611309	132.2			
T	41.566513583	2.254559192	132.0			
T	41.566445344	2.254506005	131.5			
T	41.566376136	2.254442821	131.0			
T	41.566310378	2.254393142	131.3			
T	41.566250210	2.254344037	131.4			
T	41.566202009	2.254301397	131.3			
T	41.566149763	2.254252739	131.2			
T	41.566104550	2.254217745	130.9			
T	41.566064458	2.254187659	130.7			
T	41.566011420	2.254143913	130.5			
T	41.565963784	2.254099367	130.4			
T	41.565907139	2.254057231	130.1			
T	41.565852379	2.254012654	129.8			
T	41.565800878	2.253966291	129.5			
T	41.565770693	2.253946963	129.3			
T	41.565747252	2.253939890	129.2			
T	41.565719952	2.253923812	129.1			
T	41.565694829	2.253920649	128.9			
T	41.565693361	2.253919166	128.9			
T	41.565664140	2.253912358	128.7			
T	41.565632601	2.253910312	128.5			
T	41.565602278	2.253912019	128.3			
T	41.565574506	2.253915627	128.0			
T	41.565554152	2.253920084	127.9			
T	41.565532814	2.253926342	127.9			
T	41.565509905	2.253932123	127.8			
T	41.565499201	2.253944064	127.8			
T	41.565476450	2.253954090	127.8			
T	41.565450338	2.253967368	127.7			
T	41.565434395	2.253978766	127.7			
T	41.565412561	2.254002204	127.6			
T	41.565396352	2.254027699	127.5			
T	41.565373947	2.254047208	127.4			
T	41.565354134	2.254069423	127.3			
T	41.565337796	2.254094320	127.3			
T	41.565317720	2.254130557	127.1			
T	41.565304901	2.254155654	127.0			
T	41.565291671	2.254186596	126.9			
T	41.565285371	2.254220252	126.8			
T	41.565275580	2.254249838	126.7			
T	41.565268446	2.254285856	126.6			
T	41.565265947	2.254325600	126.4			
T	41.565260538	2.254367733	126.2			
T	41.565256020	2.254395037	126.1			
T	41.565252897	2.254420437	125.9			
T	41.565256183	2.254449859	125.8			
T	41.565262265	2.254479520	125.6			
T	41.565265056	2.254507439	125.4			
T	41.565272654	2.254533825	125.3			
T	41.565272548	2.254557702	125.1			
T	41.565280132	2.254595963	124.9			
T	41.565290040	2.254632079	124.6			
T	41.565304501	2.254668650	124.4			
T	41.565317637	2.254712913	124.1			
T	41.565330451	2.254751769	123.9			
T	41.565340263	2.254782048	123.7			
T	41.565352909	2.254819125	123.6			
T	41.565365382	2.254855870	123.4			
T	41.565373139	2.254882415	123.2			
T	41.565380165	2.254908585	123.1			
T	41.565389117	2.254929162	123.0			
T	41.565399188	2.254956560	122.8			
T	41.565406311	2.254978032	122.7			
T	41.565414947	2.255001014	122.5			
T	41.565421785	2.255023758	122.4			
T	41.565431224	2.255053462	122.2			
T	41.565449162	2.255105489	121.9			
T	41.565465463	2.255146798	121.6			
T	41.565475759	2.255187231	121.4			
T	41.565494475	2.255229488	121.2			
T	41.565504595	2.255266050	121.0			
T	41.565515010	2.255300537	120.9			
T	41.565524873	2.255329682	120.8			
T	41.565532911	2.255355695	120.7			
T	41.565544050	2.255385433	120.6			
T	41.565550822	2.255405519	120.5			
T	41.565555118	2.255426297	120.5			
T	41.565561977	2.255447416	120.4			
T	41.565575111	2.255482946	120.2			
T	41.565582883	2.255511976	120.1			
T	41.565592114	2.255535781	120.0			
T	41.565603523	2.255563753	119.8			
T	41.565608268	2.255584647	119.7			
T	41.565615151	2.255606210	119.6			
T	41.565631114	2.255648266	119.4			
T	41.565644400	2.255686419	119.2			
T	41.565654646	2.255725323	119.0			
T	41.565673894	2.255774144	118.8			
T	41.565687361	2.255817783	118.6			
T	41.565703244	2.255855342	118.4			
T	41.565711351	2.255887662	118.3			
T	41.565724490	2.255923704	118.2			
T	41.565735183	2.255955672	118.1			
T	41.565746754	2.255985624	117.9			
T	41.565757319	2.256017186	117.8			
T	41.565799155	2.256128863	117.2			
T	41.565817009	2.256177679	117.1			
T	41.565832485	2.256218646	117.0			
T	41.565846195	2.256252929	117.0			
T	41.565859198	2.256289842	117.0			
T	41.565881000	2.256338585	116.9			
T	41.565896166	2.256379515	116.8			
T	41.565917481	2.256416075	116.6			
T	41.565935389	2.256452451	116.4			
T	41.565953742	2.256489123	116.2			
T	41.565971888	2.256517953	116.0			
T	41.566012875	2.256589221	115.6			
T	41.566051712	2.256654901	115.3			
T	41.566097446	2.256727344	115.0			
T	41.566146708	2.256799983	115.1			
T	41.566197882	2.256871259	115.1			
T	41.566243419	2.256927787	115.0			
T	41.566287629	2.256980313	115.0			
T	41.566343817	2.257040759	115.0			
T	41.566380771	2.257082179	115.0			
T	41.566419312	2.257122760	115.0			
T	41.566454833	2.257159142	115.0			
T	41.566455646	2.257161528	115.0			
T	41.566556043	2.257240285	115.0			
T	41.566644903	2.257318449	115.0			
T	41.566735920	2.257397598	115.1			
T	41.566818591	2.257473008	115.1			
T	41.566891031	2.257534216	115.0			
