type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	41.564743110	2.252262698	125.9			
T	41.564768719	2.252246337	125.9			
T	41.564799411	2.252226100	126.0			
T	41.564823498	2.252209930	126.0			
T	41.564848784	2.252198846	126.0			
T	41.564874773	2.252184623	126.1			
T	41.564905280	2.252173006	126.1			
T	41.564932073	2.252161678	126.2			
T	41.564961069	2.252153872	126.2			
T	41.564993106	2.252140024	126.3			
T	41.565014676	2.252128802	126.4			
T	41.565042583	2.252120184	126.5			
T	41.565070931	2.252111827	126.6			
T	41.565099844	2.252100918	126.6			
T	41.565131878	2.252097696	126.7			
T	41.565154170	2.252086537	126.8			
T	41.565185226	2.252086743	126.8			
T	41.565213300	2.252077904	126.9			
T	41.565246370	2.252077639	126.9			
T	41.565269496	2.252075075	127.0			
T	41.565291835	2.252072353	127.0			
T	41.565311662	2.252069530	127.0			
T	41.565332920	2.252068773	127.0			
T	41.565368040	2.252072025	127.0			
T	41.565403648	2.252073350	127.0			
T	41.565431129	2.252071623	127.0			
T	41.565468210	2.252075662	127.0			
T	41.565493217	2.252076131	127.0			
T	41.565524330	2.252078896	127.0			
T	41.565558778	2.252083608	127.0			
T	41.565596125	2.252089006	127.1			
T	41.565639738	2.252095596	127.1			
T	41.565679191	2.252105174	127.2			
T	41.565725298	2.252116943	127.2			
T	41.565751679	2.252118561	127.3			
T	41.565787324	2.252127801	127.3			
T	41.565826079	2.252139969	127.3			
T	41.565846275	2.252148378	127.3			
T	41.565866213	2.252155959	127.3			
T	41.565892582	2.252162023	127.4			
T	41.565918549	2.252171327	127.4			
T	41.565945280	2.252180705	127.5			
T	41.565966879	2.252190487	127.5			
T	41.565986429	2.252194439	127.6			
T	41.566007708	2.252207344	127.6			
T	41.566028486	2.252215635	127.7			
T	41.566047135	2.252221742	127.8			
T	41.566070455	2.252232015	127.9			
T	41.566090564	2.252240960	127.9			
T	41.566109031	2.252249705	128.0			
T	41.566124687	2.252256395	128.0			
T	41.566141312	2.252266504	128.1			
T	41.566159792	2.252275336	128.1			
T	41.566185411	2.252291043	128.2			
T	41.566207518	2.252300618	128.2			
T	41.566228119	2.252311727	128.3			
T	41.566246167	2.252321113	128.3			
T	41.566262360	2.252330750	128.3			
T	41.566280820	2.252342292	128.3			
T	41.566299260	2.252353961	128.4			
T	41.566315179	2.252365820	128.4			
T	41.566331899	2.252378996	128.3			
T	41.566348572	2.252387049	128.3			
T	41.566363334	2.252398192	128.3			
T	41.566380006	2.252410297	128.3			
T	41.566398645	2.252421744	128.3			
T	41.566410623	2.252431417	128.3			
T	41.566422909	2.252439113	128.3			
T	41.566434564	2.252447495	128.3			
T	41.566447774	2.252458790	128.3			
T	41.566461498	2.252468410	128.3			
T	41.566487927	2.252492613	128.4			
T	41.566510350	2.252508787	128.5			
T	41.566530594	2.252527732	128.6			
T	41.566552717	2.252547207	128.7			
T	41.566576095	2.252566218	128.8			
T	41.566597079	2.252583227	128.8			
T	41.566617006	2.252597852	128.9			
T	41.566639516	2.252618442	128.9			
T	41.566658013	2.252633784	129.0			
T	41.566674754	2.252649531	129.0			
T	41.566689364	2.252661880	129.0			
T	41.566702302	2.252671856	129.0			
T	41.566716707	2.252683879	129.1			
T	41.566744721	2.252705538	129.1			
T	41.566777392	2.252733920	129.1			
T	41.566813358	2.252765915	129.0			
T	41.566841763	2.252787997	129.0			
T	41.566872535	2.252818945	129.1			
