latitude (deg),longitude (deg),altitude (m)
41.56461394,2.25619158,0
41.56462673,2.256160602,0
41.56463814,2.256126437,0
41.56465193,2.256090893,0
41.56466699,2.256065539,0
41.56468372,2.256023871,0
41.564702,2.255993033,0
41.56471952,2.2559539,0
41.56473446,2.255917301,0
41.56475146,2.255884987,0
41.56476618,2.255849907,0
41.56477902,2.255822823,0
41.56479526,2.2557946,0
41.56480679,2.255766363,0
41.56481354,2.255737838,0
41.56482189,2.255702547,0
41.56482892,2.255672131,0
41.56483457,2.255641912,0
41.56484054,2.25561158,0
41.56484138,2.255578453,0
41.56484763,2.255547588,0
41.56484575,2.255514563,0
41.564845,2.255485328,0
41.56484677,2.25545444,0
41.56484569,2.255427521,0
41.5648424,2.255391109,0
41.56483668,2.255349908,0
41.56483052,2.255312906,0
41.56481834,2.255274874,0
41.56480649,2.255234488,0
41.5647957,2.255200276,0
41.56477397,2.255154081,0
41.5647544,2.255111224,0
41.56473153,2.255070718,0
41.564702,2.255012811,0
41.56466782,2.25495244,0
41.56463289,2.254899994,0
41.56459733,2.254835608,0
41.56456167,2.254767358,0
41.56452104,2.25468281,0
41.56448071,2.254617116,0
41.56443914,2.254539151,0
41.56439903,2.254468343,0
41.56436676,2.254418278,0
41.56434357,2.254354758,0
41.56430718,2.254293023,0
41.56427886,2.254226099,0
41.56425277,2.254160639,0
41.56421463,2.254058381,0
41.56418971,2.253951441,0
41.56416968,2.253847355,0
41.56415919,2.253781966,0
41.5641506,2.253711259,0
41.56414944,2.253649835,0
41.56415054,2.253590446,0
41.56413356,2.253503318,0
41.5641404,2.253461898,0
41.56413588,2.253414025,0
41.56413635,2.253372454,0
41.56413898,2.253329748,0
41.56413963,2.253278772,0
41.56415408,2.253241204,0
41.56416599,2.253203643,0
41.56417852,2.253149098,0
41.56419494,2.253103643,0
41.56420732,2.25304333,0
41.56421961,2.252997906,0
41.5642407,2.252946421,0
41.56426163,2.252887557,0
41.5642841,2.252843964,0
41.56430391,2.252785645,0
41.56432122,2.252733897,0
41.56433779,2.252685787,0
41.56437028,2.25266348,0
41.56439687,2.252617496,0
41.56442218,2.252585446,0
41.56443674,2.252544915,0
41.56447141,2.25251801,0
41.56449153,2.252490618,0
41.56451512,2.252471252,0
41.56453847,2.252446181,0
41.56455441,2.252421254,0
41.56456929,2.252394173,0
41.56459131,2.252380008,0
41.5646112,2.252356958,0
41.56463013,2.252339782,0
41.56465178,2.252325079,0
41.5646821,2.252302165,0
41.56470011,2.252290272,0
41.56471894,2.252276299,0
41.56474311,2.252262698,0
41.56476872,2.252246337,0
41.56479941,2.2522261,0
41.5648235,2.25220993,0
41.56484878,2.252198846,0
41.56487477,2.252184623,0
41.56490528,2.252173006,0
41.56493207,2.252161678,0
41.56496107,2.252153872,0
41.56499311,2.252140024,0
41.56501468,2.252128802,0
41.56504258,2.252120184,0
41.56507093,2.252111827,0
41.56509984,2.252100918,0
41.56513188,2.252097696,0
41.56515417,2.252086537,0
41.56518523,2.252086743,0
41.5652133,2.252077904,0
41.56524637,2.252077639,0
41.5652695,2.252075075,0
41.56529184,2.252072353,0
41.56531166,2.25206953,0
41.56533292,2.252068773,0
41.56536804,2.252072025,0
41.56540365,2.25207335,0
41.56543113,2.252071623,0
41.56546821,2.252075662,0
41.56549322,2.252076131,0
41.56552433,2.252078896,0
41.56555878,2.252083608,0
41.56559613,2.252089006,0
41.56563974,2.252095596,0
41.56567919,2.252105174,0
41.5657253,2.252116943,0
41.56575168,2.252118561,0
41.56578732,2.252127801,0
41.56582608,2.252139969,0
41.56584628,2.252148378,0
41.56586621,2.252155959,0
41.56589258,2.252162023,0
41.56591855,2.252171327,0
41.56594528,2.252180705,0
41.56596688,2.252190487,0
41.56598643,2.252194439,0
41.56600771,2.252207344,0
41.56602849,2.252215635,0
41.56604714,2.252221742,0
41.56607046,2.252232015,0
41.56609056,2.25224096,0
41.56610903,2.252249705,0
41.56612469,2.252256395,0
41.56614131,2.252266504,0
41.56615979,2.252275336,0
41.56618541,2.252291043,0
41.56620752,2.252300618,0
41.56622812,2.252311727,0
41.56624617,2.252321113,0
41.56626236,2.25233075,0
41.56628082,2.252342292,0
41.56629926,2.252353961,0
41.56631518,2.25236582,0
41.5663319,2.252378996,0
41.56634857,2.252387049,0
41.56636333,2.252398192,0
41.56638001,2.252410297,0
41.56639865,2.252421744,0
41.56641062,2.252431417,0
41.56642291,2.252439113,0
41.56643456,2.252447495,0
41.56644777,2.25245879,0
41.5664615,2.25246841,0
41.56648793,2.252492613,0
41.56651035,2.252508787,0
41.56653059,2.252527732,0
41.56655272,2.252547207,0
41.5665761,2.252566218,0
41.56659708,2.252583227,0
41.56661701,2.252597852,0
41.56663952,2.252618442,0
41.56665801,2.252633784,0
41.56667475,2.252649531,0
41.56668936,2.25266188,0
41.5667023,2.252671856,0
41.56671671,2.252683879,0
41.56674472,2.252705538,0
41.56677739,2.25273392,0
41.56681336,2.252765915,0
41.56684176,2.252787997,0
41.56687254,2.252818945,0
41.56689141,2.252832688,0
41.56691096,2.252848365,0
41.56693072,2.252866154,0
41.56695146,2.252883508,0
41.56698273,2.252909459,0
41.5670114,2.252932496,0
41.56704268,2.252958872,0
41.56706542,2.2529812,0
41.56709849,2.253003748,0
41.56711911,2.253022456,0
41.56714259,2.253041509,0
41.5671674,2.253063211,0
41.56720873,2.253097206,0
41.56723616,2.253123153,0
41.5672663,2.253146914,0
41.56729203,2.253168427,0
41.56732657,2.25319931,0
41.56735113,2.253218699,0
41.56737699,2.253237054,0
41.56739966,2.253256488,0
41.5674207,2.253277353,0
41.56744612,2.253296723,0
41.56748688,2.253330765,0
41.56751392,2.253352053,0
41.56754536,2.253377076,0
41.56757233,2.253401796,0
41.56759659,2.253425346,0
41.56762087,2.25344251,0
41.5676398,2.253458117,0
41.5676591,2.253474268,0
41.56767616,2.25349014,0
41.56769318,2.253506023,0
41.56771054,2.253519655,0
41.56772805,2.253532679,0
41.56773941,2.253544358,0
41.56775565,2.253556079,0
41.56776922,2.253568203,0
41.56793871,2.253712324,0
41.5679631,2.253731189,0
41.56799153,2.253756653,0
41.56801368,2.253773321,0
41.56803701,2.253795205,0
41.56805828,2.253811378,0
41.56808097,2.253832763,0
41.5681097,2.25385721,0
41.56813537,2.253877282,0
41.56815992,2.253899851,0
41.56819155,2.253924195,0
41.56821058,2.25393852,0
41.56823145,2.253954794,0
41.56825516,2.253975483,0
41.56827762,2.253998909,0
41.5683021,2.254025461,0
41.56832317,2.254048539,0
41.56833872,2.254069595,0
41.56835117,2.254091251,0
41.56836733,2.254114916,0
41.56838231,2.254141712,0
41.56839733,2.254168942,0
41.56841135,2.254194606,0
41.56841825,2.254212903,0
41.56842853,2.254237361,0
41.56843623,2.254257568,0
41.56844055,2.254271192,0
41.56844984,2.254291519,0
41.56845747,2.25431574,0
41.56846411,2.254347484,0
41.56846754,2.25436788,0
41.5684731,2.254389725,0
41.56847526,2.254406445,0
41.56847675,2.254425311,0
41.56847804,2.254436162,0
41.56848202,2.254450581,0
41.56848801,2.254471357,0
41.56848908,2.254481421,0
41.56848953,2.254504728,0
41.56848959,2.254525137,0
41.56849117,2.254544142,0
41.56848814,2.254560313,0
41.5684903,2.254588271,0
41.56848736,2.254613585,0
41.56848747,2.254639293,0
41.56848431,2.254660344,0
41.5684839,2.254692336,0
41.56848068,2.254723394,0
41.56847432,2.254750775,0
41.56846821,2.25477883,0
41.56846203,2.254811408,0
41.56845398,2.254837215,0
