latitude (deg),longitude (deg),altitude (m)
41.56720964,2.253270059,0
41.56723624,2.253292517,0
41.5672648,2.253315978,0
41.56728833,2.253335058,0
41.56730808,2.253352431,0
41.56733266,2.253373773,0
41.56738146,2.253416229,0
41.56743991,2.25346316,0
41.56748058,2.25349781,0
41.56753189,2.25354129,0
41.5675782,2.253577714,0
41.56761367,2.253608199,0
41.56765013,2.253640277,0
41.56767786,2.253662892,0
41.56770965,2.25368853,0
41.56773451,2.253709175,0
41.56776562,2.253734014,0
41.56778915,2.253757497,0
41.56781007,2.253774924,0
41.56789279,2.253841403,0
41.56791675,2.253862453,0
41.56794308,2.253884014,0
41.5679706,2.253906038,0
41.56800375,2.253928548,0
41.56804615,2.253964101,0
41.56808434,2.253996358,0
41.5681228,2.254025005,0
41.5681651,2.254069839,0
41.56820863,2.254101106,0
41.56823481,2.254129289,0
41.56825057,2.254144934,0
41.56826283,2.25416324,0
41.56827987,2.254187747,0
41.56829008,2.254207225,0
41.56830697,2.254233448,0
41.56831579,2.254255625,0
41.56832989,2.254292723,0
41.5683494,2.254351387,0
41.56836173,2.254399142,0
41.56837388,2.254460566,0
41.56838598,2.254509078,0
41.56838758,2.254558942,0
41.56838384,2.254599336,0
41.56838663,2.254642966,0
41.568379,2.254688532,0
41.56837071,2.254734395,0
41.56835524,2.254778894,0
41.56834472,2.254829533,0
41.56833432,2.254850229,0
41.56831807,2.254876204,0
41.56829942,2.254906836,0
41.56828503,2.254943179,0
41.56826177,2.254969694,0
41.56824361,2.25500381,0
41.56823162,2.25503108,0
41.56820775,2.255059018,0
41.5681655,2.255105544,0
41.56814043,2.255134136,0
41.56810881,2.25515958,0
41.56807879,2.25518716,0
41.56805138,2.25520473,0
41.56801248,2.25522283,0
41.56798307,2.255248737,0
41.56791674,2.255282781,0
41.56785814,2.255292385,0
41.56781213,2.255299319,0
41.56778134,2.255302178,0
41.5677459,2.255308123,0
41.5677122,2.255312041,0
41.567685,2.255314393,0
41.56765021,2.255315839,0
41.56762286,2.255313145,0
41.56758038,2.255308866,0
41.5675388,2.255299409,0
41.56750105,2.255292054,0
41.56745062,2.255276405,0
41.56738463,2.255245324,0
41.56731965,2.255218038,0
41.56725708,2.255183902,0
41.5672032,2.255137703,0
41.56716821,2.255113377,0
41.56712175,2.255075842,0
41.5670787,2.255039469,0
41.56702712,2.255001188,0
41.56697289,2.254956776,0
41.56692404,2.254914917,0
41.56686685,2.25486887,0
41.56682012,2.254829899,0
41.56676101,2.25477601,0
41.56670147,2.254723947,0
41.56662599,2.254652384,0
41.56657027,2.254611309,0
41.56651358,2.254559192,0
41.56644534,2.254506005,0
41.56637614,2.254442821,0
41.56631038,2.254393142,0
41.56625021,2.254344037,0
41.56620201,2.254301397,0
41.56614976,2.254252739,0
41.56610455,2.254217745,0
41.56606446,2.254187659,0
41.56601142,2.254143913,0
41.56596378,2.254099367,0
41.56590714,2.254057231,0
41.56585238,2.254012654,0
41.56580088,2.253966291,0
41.56577069,2.253946963,0
41.56574725,2.25393989,0
41.56571995,2.253923812,0
41.56569483,2.253920649,0
41.56569336,2.253919166,0
41.56566414,2.253912358,0
41.5656326,2.253910312,0
41.56560228,2.253912019,0
41.56557451,2.253915627,0
41.56555415,2.253920084,0
41.56553281,2.253926342,0
41.56550991,2.253932123,0
41.5654992,2.253944064,0
41.56547645,2.25395409,0
41.56545034,2.253967368,0
41.5654344,2.253978766,0
41.56541256,2.254002204,0
41.56539635,2.254027699,0
41.56537395,2.254047208,0
41.56535413,2.254069423,0
41.5653378,2.25409432,0
41.56531772,2.254130557,0
