latitude,longitude,altitude (m)
45.62475365,9.282405037,0
45.62477536,9.282394228,0
45.62480575,9.282385748,0
45.62483359,9.282375907,0
45.62486522,9.282359347,0
45.62489285,9.28234688,0
45.62492063,9.282336603,0
45.62495169,9.282325696,0
45.62498382,9.28231061,0
45.62500355,9.282303425,0
45.62503838,9.282290678,0
45.62506788,9.28227819,0
45.62510466,9.28226436,0
45.62514124,9.282250261,0
45.62517607,9.282241613,0
45.62520455,9.282231047,0
45.62523469,9.28221795,0
45.62526899,9.282203443,0
45.62529825,9.282194923,0
45.62533151,9.282182154,0
45.62535477,9.282172373,0
45.62538045,9.282163944,0
45.62540634,9.28215519,0
45.625435,9.282144888,0
45.62546298,9.282132826,0
45.62549209,9.282122531,0
45.62552354,9.282112283,0
45.62556218,9.282100288,0
45.62560048,9.282090753,0
45.62565488,9.282076801,0
45.6256888,9.282069898,0
45.62572183,9.282061935,0
45.62575255,9.282055848,0
45.62578341,9.282049622,0
45.62582614,9.282042489,0
45.62585889,9.282039673,0
45.62590108,9.282036735,0
45.6259632,9.282031199,0
45.6260237,9.282021746,0
45.62607078,9.282022281,0
45.62615739,9.282024492,0
45.6262062,9.282025454,0
45.62624555,9.282027432,0
45.62627892,9.282031207,0
45.62631673,9.282036127,0
45.62635907,9.282040651,0
45.62639435,9.282043674,0
45.62642983,9.282048823,0
45.62646377,9.282052499,0
45.62649398,9.282054246,0
45.62652774,9.282058189,0
45.62656902,9.282064196,0
45.62661804,9.282069634,0
45.62666186,9.282075748,0
45.62671098,9.282081734,0
45.6267581,9.28208611,0
45.62681714,9.282091488,0
45.6268712,9.282098352,0
45.62692126,9.282106126,0
45.62696694,9.282110775,0
45.62701996,9.282116932,0
45.62707242,9.28212149,0
45.62712004,9.28212939,0
45.62717634,9.282135928,0
45.62723055,9.28214281,0
45.62728326,9.282148752,0
45.62734819,9.282153051,0
45.62741713,9.282164597,0
45.62748598,9.282172814,0
45.62754515,9.282185408,0
45.62760661,9.282199703,0
45.62765194,9.282216014,0
45.62770173,9.28222944,0
45.6277325,9.282242066,0
45.62776581,9.282250447,0
45.62780395,9.282264389,0
45.62784266,9.28227808,0
45.62788162,9.282297459,0
45.62791119,9.282309592,0
45.62794211,9.282324608,0
45.62797941,9.282343144,0
45.62801914,9.282361641,0
45.62805553,9.282379306,0
45.628106,9.282408893,0
45.62816979,9.282444853,0
45.62824673,9.28249154,0
45.62831806,9.282538621,0
45.62838881,9.282594625,0
45.62847034,9.282658706,0
45.62854777,9.28272362,0
45.62862281,9.282796745,0
45.62868901,9.282865851,0
45.6287669,9.282952001,0
45.62882917,9.283018899,0
45.62887649,9.28307222,0
45.62892289,9.283133931,0
45.62895846,9.283187438,0
45.62900516,9.283242552,0
45.6290371,9.28330623,0
45.6290797,9.28336545,0
45.62912339,9.283437268,0
45.62916987,9.283514542,0
45.6292199,9.283593604,0
45.62925776,9.283662421,0
45.6292948,9.283738743,0
45.62932774,9.283806009,0
45.62936062,9.283871821,0
45.62939164,9.283934892,0
45.62941858,9.283995274,0
45.62945155,9.28407434,0
45.6294768,9.284136396,0
45.62950328,9.284197127,0
45.62952506,9.284258463,0
45.62955042,9.284320654,0
45.62957768,9.284393067,0
45.62960048,9.284457887,0
45.62962053,9.28451212,0
45.62963592,9.284571167,0
45.62966259,9.284642503,0
45.629681,9.284706769,0
45.62972478,9.284855839,0
45.62977083,9.285030644,0
45.62981132,9.285210774,0
45.62984385,9.285339669,0
45.629865,9.285469305,0
45.62988452,9.285596953,0
45.62991025,9.285758462,0
45.6299246,9.285865808,0
45.62993495,9.285969852,0
45.62994454,9.286048396,0
45.62995141,9.286123091,0
45.62995426,9.286195221,0
45.62996463,9.286277548,0
45.62996921,9.286355998,0
45.62997567,9.286431854,0
45.62998102,9.286542073,0
45.62998436,9.286615024,0
45.62998871,9.286688327,0
45.62999078,9.286766408,0
45.62999776,9.286848969,0
45.63000228,9.286917137,0
45.6300043,9.286980563,0
45.63001281,9.287108329,0
45.63001843,9.2872092,0
45.63002394,9.287288444,0
45.63002823,9.287382204,0
45.63003488,9.287471055,0
45.6300382,9.287548119,0
45.6300429,9.287628056,0
45.63004842,9.287719593,0
45.63005425,9.287799466,0
45.63005683,9.287873431,0
45.63006098,9.287953809,0
45.63006417,9.288011359,0
45.63006827,9.288069947,0
45.63007332,9.288127986,0
45.63007663,9.288183252,0
45.63007907,9.288243355,0
45.63008227,9.288311764,0
45.63008655,9.288384274,0
45.63008992,9.288448711,0
45.63009354,9.288511369,0
45.63009685,9.288563699,0
45.63010018,9.288630096,0
45.63010487,9.288687619,0
45.63010759,9.288749148,0
45.63011208,9.288815708,0
45.63011493,9.288881962,0
45.63011914,9.288950587,0
45.63012385,9.28901831,0
45.63012654,9.289084746,0
45.63013133,9.289146213,0
45.6301315,9.289202837,0
45.63013536,9.289265288,0
45.63013713,9.289321438,0
45.63013943,9.289385418,0
45.63014294,9.289449129,0
45.63014499,9.289505163,0
45.63014722,9.289567635,0
45.63015117,9.289637485,0
45.6301526,9.289705925,0
45.6301543,9.289768855,0
45.63015715,9.289824289,0
45.63015841,9.289867371,0
45.63015972,9.289915697,0
45.63016417,9.289962981,0
