latitude,longitude,altitude (m)
45.62129432,9.285114311,0
45.62128928,9.285108409,0
45.62128077,9.285094779,0
45.62127083,9.28508328,0
45.62126009,9.285071874,0
45.62124937,9.285061113,0
45.62123895,9.285051003,0
45.62123,9.28504353,0
45.62122107,9.285034545,0
45.62121126,9.285027702,0
45.62120096,9.285019045,0
45.62119146,9.285012722,0
45.6211824,9.28500589,0
45.62117368,9.285000909,0
45.62116268,9.284994956,0
45.62115414,9.284989848,0
45.62114713,9.284985462,0
45.62114096,9.284983017,0
45.62113451,9.284979698,0
45.621119,9.284971408,0
45.62109932,9.28496212,0
45.62108336,9.284956393,0
45.62106609,9.284950216,0
45.62104847,9.284942681,0
45.62103507,9.284937843,0
45.62102142,9.284933968,0
45.62100562,9.284926897,0
45.62099328,9.28492277,0
45.62098509,9.284921635,0
45.62097546,9.284918126,0
45.62096712,9.284916244,0
45.62093149,9.284902629,0
45.62090717,9.28489446,0
45.62087731,9.284891329,0
45.62085413,9.284888617,0
45.62082866,9.284882575,0
45.6207984,9.284878622,0
45.62077514,9.284874362,0
45.6207478,9.284869515,0
45.62071704,9.284864437,0
45.62065992,9.284855955,0
45.62061845,9.284848505,0
45.62058742,9.284844041,0
45.62056063,9.284839597,0
45.62053679,9.28483563,0
45.62050948,9.284830759,0
45.62048903,9.284827855,0
45.62047059,9.284825233,0
45.62044817,9.284822534,0
45.62042893,9.284819635,0
45.62039836,9.284815481,0
45.62036858,9.284811064,0
45.6203426,9.284806853,0
45.62031202,9.284802455,0
45.62028327,9.284797936,0
45.62025672,9.284794034,0
45.62023209,9.284788342,0
45.62021023,9.284784831,0
45.62018211,9.284780092,0
45.62015453,9.284775356,0
45.62012879,9.284770939,0
45.62010062,9.284767718,0
45.6200761,9.28476294,0
45.62005352,9.284759503,0
45.62002878,9.284754208,0
45.62000672,9.284751281,0
45.6199673,9.284743106,0
45.61992896,9.284737972,0
45.61988581,9.284733375,0
45.61985049,9.284730853,0
45.61979543,9.284727708,0
45.61975668,9.284725688,0
45.61971302,9.284717818,0
45.61966383,9.284708006,0
45.61960938,9.284703324,0
45.61955622,9.284692423,0
45.61950878,9.284684361,0
45.61944401,9.284671918,0
45.6193981,9.284665599,0
45.61934876,9.284659084,0
45.61929407,9.284647651,0
45.61923023,9.284638636,0
45.61917952,9.284631554,0
45.61911722,9.284617737,0
45.61907102,9.284612597,0
45.61902416,9.284605116,0
45.61898055,9.284596939,0
45.61892763,9.284589195,0
45.6188814,9.284582392,0
45.61884462,9.284575462,0
45.61880447,9.284572767,0
45.61877048,9.284566727,0
45.61873509,9.284559823,0
45.61861847,9.284542306,0
45.61857569,9.284537887,0
45.61853363,9.284532331,0
45.61848914,9.284526411,0
45.6184486,9.284516136,0
45.61840553,9.28450929,0
45.61837022,9.284501605,0
45.61832941,9.28449764,0
45.61829773,9.284493023,0
45.6182652,9.284487576,0
45.61822824,9.284481086,0
45.61819853,9.284477952,0
45.61816893,9.284474672,0
45.61813972,9.284468413,0
45.61811301,9.284465919,0
45.61804804,9.284455749,0
45.61798215,9.2844434,0
45.61791367,9.284435365,0
45.61784212,9.284424672,0
45.61778104,9.284416251,0
45.61772998,9.284408306,0
45.61767949,9.284400569,0
45.61764016,9.284394444,0
45.61754456,9.284379548,0
45.61744064,9.28436563,0
45.61734189,9.284349842,0
45.61725283,9.284339383,0
45.6171823,9.284326306,0
45.61711392,9.284315688,0
45.61705891,9.284308047,0
45.61701253,9.284300223,0
45.61693738,9.284288866,0
45.61686931,9.284280297,0
45.61679841,9.28426923,0
45.6167246,9.284260982,0
45.61664845,9.284246509,0
45.61658968,9.284238157,0
45.61651464,9.284225098,0
45.61643539,9.284214971,0
45.61635869,9.284203076,0
45.61629224,9.284193714,0
45.61620545,9.284179536,0
45.61614393,9.284169549,0
45.61610305,9.284164619,0
45.61600066,9.284150799,0
45.61595077,9.284144545,0
45.6158917,9.28413647,0
45.61585271,9.284127074,0
45.61581822,9.284123839,0
45.61577932,9.284118174,0
45.61573273,9.284108819,0
45.6156809,9.284102733,0
45.61563596,9.284096899,0
45.61553497,9.284080101,0
45.61544323,9.284066661,0
45.61535564,9.28405182,0
45.6152844,9.28404278,0
45.61522648,9.284033773,0
45.61515484,9.284022024,0
45.61509698,9.284015393,0
45.61503598,9.284007044,0
45.61497327,9.28399748,0
45.61492807,9.283991379,0
45.61484658,9.28397714,0
45.61476594,9.283965936,0
45.61468971,9.283955657,0
45.61461535,9.283946072,0
45.61455396,9.283938845,0
45.61448689,9.28392576,0
45.61443034,9.283917379,0
45.61437986,9.283910662,0
45.61433722,9.283904143,0
45.61429502,9.283897954,0
45.61423866,9.283891197,0
45.61417595,9.283879375,0
45.61411837,9.283869474,0
45.61406758,9.283863111,0
45.61403437,9.283861165,0
45.61400081,9.283853217,0
45.61394234,9.283845772,0
45.61388914,9.283837547,0
45.61384073,9.283831008,0
45.61379579,9.283821872,0
45.61375923,9.283817731,0
45.61369882,9.283809207,0
45.61363433,9.283800349,0
45.61357279,9.283789615,0
45.61353246,9.283785134,0
45.61349705,9.283780069,0
