type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.625623446	9.282217195	187.3			
T	45.625663389	9.282203636	187.4			
T	45.625707636	9.282193183	187.6			
T	45.625759008	9.282182131	187.8			
T	45.625803255	9.282171578	187.9			
T	45.625849503	9.282166093	188.0			
T	45.625928400	9.282158654	188.1			
T	45.625975227	9.282148726	188.1			
T	45.626022274	9.282148439	188.2			
T	45.626062047	9.282146363	188.2			
T	45.626105846	9.282148248	188.3			
T	45.626163637	9.282143786	188.2			
T	45.626213604	9.282148545	188.2			
T	45.626272584	9.282152378	188.1			
T	45.626323871	9.282157533	188.1			
T	45.626373781	9.282161245	188.0			
T	45.626418265	9.282166764	188.0			
T	45.626466217	9.282172512	188.0			
T	45.626509306	9.282178180	188.0			
T	45.626550814	9.282180172	188.0			
T	45.626588257	9.282185740	188.0			
T	45.626622977	9.282188264	188.0			
T	45.626670557	9.282197015	188.0			
T	45.626718333	9.282200705	188.0			
T	45.626766230	9.282206696	188.0			
T	45.626812505	9.282213918	188.0			
T	45.626871941	9.282217537	188.0			
T	45.626924070	9.282227448	188.0			
T	45.626975302	9.282232801	188.0			
T	45.627030931	9.282240926	188.0			
T	45.627097832	9.282249047	188.0			
T	45.627159465	9.282254622	188.0			
T	45.627203167	9.282261636	188.0			
T	45.627257147	9.282269673	188.1			
T	45.627317106	9.282277070	188.3			
T	45.627410523	9.282288858	188.5			
T	45.627486486	9.282299698	188.7			
T	45.627547042	9.282312770	188.7			
T	45.627600093	9.282325962	188.6			
T	45.627661001	9.282341854	188.6			
T	45.627717553	9.282363201	188.5			
T	45.627783309	9.282385727	188.4			
T	45.627830833	9.282403352	188.5			
T	45.627883393	9.282429358	188.5			
T	45.627940538	9.282457442	188.6			
T	45.627985669	9.282478811	188.8			
T	45.628022708	9.282500269	188.9			
T	45.628064437	9.282524298	188.9			
T	45.628112393	9.282541696	189.0			
T	45.628151543	9.282572917	189.0			
T	45.628179363	9.282590151	189.0			
T	45.628208139	9.282611304	188.9			
T	45.628250655	9.282640776	188.8			
T	45.628291027	9.282667843	188.7			
T	45.628335291	9.282699901	188.6			
T	45.628384156	9.282739307	188.4			
T	45.628432245	9.282780352	188.4			
T	45.628489004	9.282826310	188.6			
T	45.628543798	9.282876569	188.8			
T	45.628584417	9.282922760	189.0			
T	45.628632895	9.282970517	189.0			
T	45.628676951	9.283014562	189.0			
T	45.628719929	9.283060971	189.0			
T	45.628768013	9.283122462	189.0			
T	45.628820810	9.283175603	189.0			
T	45.628869182	9.283253023	189.0			
T	45.628921836	9.283319066	189.1			
T	45.628973909	9.283391309	189.2			
T	45.629022619	9.283469873	189.2			
T	45.629071601	9.283544146	189.2			
T	45.629114154	9.283607347	189.0			
T	45.629147879	9.283683679	189.3			
T	45.629188879	9.283740950	189.5			
T	45.629211056	9.283784812	189.7			
T	45.629231799	9.283825854	189.8			
T	45.629249130	9.283861503	189.9			
T	45.629272206	9.283899583	190.0			
T	45.629290436	9.283942782	190.0			
T	45.629306327	9.283975738	190.0			
T	45.629322736	9.284016527	190.0			
T	45.629343978	9.284057410	190.0			
T	45.629360508	9.284098759	190.0			
T	45.629379762	9.284142419	190.0			
T	45.629396619	9.284186027	190.0			
T	45.629417306	9.284229477	190.0			
T	45.629434371	9.284274892	190.0			
T	45.629450699	9.284318190	190.0			
T	45.629469734	9.284360940	190.0			
T	45.629491346	9.284411892	190.0			
T	45.629516880	9.284491825	190.0			
T	45.629537834	9.284544484	190.0			
T	45.629557214	9.284607424	190.0			
T	45.629576982	9.284669673	190.0			
T	45.629607623	9.284762336	190.1			
T	45.629622343	9.284822584	190.1			
T	45.629641466	9.284880216	190.2			
T	45.629653592	9.284934263	190.2			
T	45.629665704	9.284981269	190.2			
T	45.629681862	9.285032002	190.1			
T	45.629691939	9.285078287	190.1			
T	45.629713014	9.285160150	190.0			
T	45.629737490	9.285280315	190.0			
T	45.629750751	9.285331300	190.0			
T	45.629762218	9.285394487	190.0			
T	45.629774968	9.285459812	190.0			
T	45.629789171	9.285527319	190.0			
T	45.629799867	9.285606263	190.1			
T	45.629813295	9.285687158	190.3			
T	45.629826326	9.285772437	190.5			
T	45.629833732	9.285842571	190.6			
T	45.629843546	9.285926743	190.6			
T	45.629852929	9.286002217	190.5			
T	45.629859328	9.286079297	190.5			
T	45.629868354	9.286158867	190.5			
T	45.629875735	9.286241429	190.4			
T	45.629880909	9.286316862	190.4			
T	45.629887226	9.286385749	190.4			
T	45.629889312	9.286458946	190.4			
T	45.629894332	9.286538022	190.4			
T	45.629900929	9.286618334	190.4			
T	45.629908008	9.286694698	190.4			
T	45.629911140	9.286760763	190.6			
